Word,Pronunciation,Translation,Definition,Familiarity
euphoria,[juːˈfɔːriə],n.感觉极其愉快,overwhelming usually pleasurable,2
meteoric,[ˌmiːtiˈɔːrɪk],adj.流星般迅速而短暂的,brevity,2
panegyric,[ˌpænəˈdʒɪrɪk],n.赞颂之词，颂文,eulogistic,2
barb,[bɑːrb],n.尖锐而严厉的批评,a critical remark,2
synergic,[sɪ'nɜːdʒɪk],adj. 合作的，1+1>2的,cooperating,2
ad-lib,[ˌæd ˈlɪb],adj.即兴的,without previous preparation,2
acerbic,[əˈsɜːrbɪk],adj.（心情、心境或者语调）尖酸的,cause hurt feeling,2
cherubic,[tʃəˈruːbɪk],adj.天使般可爱的,chubby and rosy,2
myopic,[maɪˈɑːpɪk],adj.缺乏远见的，缺乏辨识能力的,lack of foresight,2
vitriolic,[ˌvɪtriˈɑːlɪk],adj. （言辞）刻薄的,scathing,2
embryonic,[ˌembriˈɑːnɪk],adj. 初期的，萌芽阶段的,early stage,2
nostalgia,"[nəˈstældʒə,nɑːˈstældʒə]",n.怀旧，怀念,a sentimental yearning for return,2
didactic,[daɪˈdæktɪk],adj. 喜欢说教的，思修的,teach,2
traumatic,[trəˈmætɪk],adj. 造成创伤的，痛苦的,cause psychological damage,2
mimic,[ˈmɪmɪk],adj.仿真的，仿造的; vt.模仿,1.in appearance; 2.model,2
phlegmatic,[fleɡˈmætɪk],adj.冷静的，无感情的，淡漠的,"having a calm, sluggish temperament",2
mesmeric,[mezˈmerɪk],adj.令人着迷的，难以抗拒的,attracting,2
sequela,[sɪ'kwilə],n.结果,secondary resuly,2
melodramatic,[ˌmelədrəˈmætɪk],adj.感情夸张的，伤感的,exaggeratedly emotional,2
choleric,[ˈkɑːlərɪk],adj.易怒的，暴躁的,easily angered,2
dogmatic,[dɔːɡˈmætɪk],adj. 武断的，自以为是的,strongly held opinions,2
nirvana,[nɪrˈvɑːnə],n.天堂,a state of utter perfection and happiness,2
coda,[ˈkoʊdə],n.终曲,the concluding passage,2
endemic,[enˈdemɪk],adj. 地方性的,to a particular region,2
generic,[dʒəˈnerɪk],adj.无差别的，普遍的,no particularly distinctive quality,2
eccentric,[ɪkˈsentrɪk],adj. 行为出格的，不循规蹈矩的,deviating conventional,2
bathetic,[bəˈθetɪk],adj.平凡的，陈腐的,commonplace,2
glib,[ɡlɪb],adj.流利圆滑的（常含有不真诚或欺诈的成分），油腔滑调的; adj.缺乏深度的，肤浅的,1. fluency; insincere; deceitful; 2. lacking depth,2
monochromatic,[ˌmɑːnəkroʊˈmætɪk],adj.单调无聊的,lacking variety,2
chimera,[kaɪˈmɪrə],n.虚构的事物，幻觉,an illusion or fabrication,2
chic,[ʃiːk],adj.时髦的，潮的,being in the latest fashion,2
cornucopia,[ˌkɔːrnəˈkoʊpiə],n.大量,an overflowing store,2
sporadic,[spəˈrædɪk],adj. 断断续续的,not often occurring,2
antic,[ˈæntɪk],adj.滑稽可笑的,clownish,2
mosaic,[moʊˈzeɪɪk],n.综合物，马赛克般的东西,collection,2
coma,[ˈkoʊmə],n.昏迷，深度无知觉,a state of profound unconsciousness,2
stamina,[ˈstæmɪnə],n. 耐力,moral strength,2
esoteric,[ˌesəˈterɪk],adj.深奥难懂的,difficult to understand,2
prophetic,[prəˈfetɪk],adj.预言的，预示的,foretelling,2
pandemic,[pænˈdemɪk],adj.大范围流行的,widespread,2
drab,[dræb],adj.单调的，无聊的,dullness and monotony,2
hagiographic,"[,hedʒɪə'ɡræfɪk]",adj. 捧为圣人一般的，过分谄媚的,overly or insincerely flattering,2
static,[ˈstætɪk],adj. 静态的，停滞的,lack of movement,2
episodic,[ˌepɪˈsɑːdɪk],adj.片段的，断断续续的,lacking in steadiness,2
tonic,[ˈtɑːnɪk],adj. 滋补的，有益健康的,stimulating vigor; beneficial,2
archaic,[ɑːrˈkeɪɪk],adj.过时的，久远的,no current,2
snub,[snʌb],vt.轻视，不理睬,contempt or neglect,2
enigma,[ɪˈnɪɡmə],n. 难以理解或解释的事物，谜,hard to understand,2
hermetic,[hɜːrˈmetɪk],adj. 深奥的,abstruseness,2
politic,[ˈpɑːlətɪk],adj.合时宜的，明智的,suitably tactical,2
lethargic,[ləˈθɑːrdʒɪk],adj. 没精打采的，行动迟缓的,sluggish,2
quota,[ˈkwoʊtə],n.配额，限额,poroportional,2
chromatic,[krəˈmætɪk],adj.彩色的,relating to color,2
patina,[pəˈtiːnə],n.外表; n.（由内而外散发的）氛围，气场,1.superficial; 2.appearance or aura,2
philanthropic,[ˌfɪlənˈθrɑːpɪk],adj.博爱的，为他人着想的,showing a concern for the welfare of others,2
polemic,[pəˈlemɪk],n.争执,a controversial argument,2
plethora,[ˈpleθərə],n.过量，过剩,excess,2
bravura,[brəˈvjʊrə],adj./n.优秀演技（的）,brilliant technique in performance,2
anesthetic,[ˌænɪsˈθetɪk],adj.无感觉的，麻木的,lacking awareness,2
stoic,[ˈstoʊɪk],adj. 隐忍的，冷静的,unaffected by pleasure or pain,2
monolithic,[ˌmɑːnəˈlɪθɪk],adj.大一统的,"single, uniform",2
panoramic,[ˌpænəˈræmɪk],adj.全景的,complete view,2
fanatic,[fəˈnætɪk],n.狂热者; adj.狂热的；盲信的,1. unreasoning enthusiasm; 2. intense uncritical devotion,2
misanthropic,[ˌmɪsənˈθrɑːpɪk],adj.反人类的,deep distrust of human,2
succumb,[səˈkʌm],v.屈服; v.死亡,1. yield to strength; 2. be brought to death,2
peripatetic,[ˌperipəˈtetɪk],adj.巡游的，四处游历的,walking from place to place,2
stigma,[ˈstɪɡmə],n. 耻辱，污名,mark of shame,2
histrionic,[ˌhɪstriˈɑːnɪk],adj. 夸张做作的,dramatic,2
lyric,[ˈlɪrɪk],adj.如诗歌般流畅甜美的,suggestive of poetry or music,2
encyclopedic,[ɪnˌsaɪkləˈpiːdɪk],adj.全面的，百科全书式的,covering everything,2
catholic,[ˈkæθlɪk],adj.普遍的，包容的,not limited or specialized,2
soporific,[ˌsɑːpəˈrɪfɪk],n.催眠的药剂，安眠药; adj.催眠的,1.induces sleep; 2.cause sleep,2
panacea,[ˌpænəˈsiːə],n.万能药，万灵药,a remedy for all ills,2
axiomatic,[ˌæksiəˈmætɪk],adj.不言自明的,self-evident,2
bureaucratic,[ˌbjʊrəˈkrætɪk],adj.官僚主义的,complicated rules; long delays,2
dramatic,[drəˈmætɪk],adj.显著的，惹人注意的,striking,2
prosaic,[proʊˈzeɪɪk],adj.单调的，常见的,being in the normal course of events,2
arrhythmic,[ə'rɪθmɪk],adj.不规律的,lacking regularity,2
eclectic,[ɪˈklektɪk],adj.混合的，多元化的,from various sources,2
automatic,[ˌɔːtəˈmætɪk],adj.自发的，情不自禁的,spontaneously or unconsciously,2
mania,[ˈmeɪniə],n.热衷，狂热,intense enthusiasm,2
anthropogenic,[ˌænθrəpəˈdʒenɪk],adj.人为的,influence of human beings,2
intrinsic,"[ɪnˈtrɪnzɪk,ɪnˈtrɪnsɪk]",adj. 固有的，内在的,essential,2
somatic,[so'mætɪk],adj.肉体的,of the body,2
anathema,[əˈnæθəmə],n.令人讨厌的事物,hated,2
diabolic,"[,daɪə'bɑlɪkl]",adj. 恶魔一般的,devil,2
chronic,[ˈkrɑːnɪk],adj.经常发生的，复发的,marked by frequent recurrence,2
cynic,[ˈsɪnɪk],n. 反人类的喷子,selfishness,2
charisma,[kəˈrɪzmə],n.魅力，吸引力,charm,2
pragmatic,[præɡˈmætɪk],adj.实用主义的，务实的,a practical approach,2
plumb,[plʌm],adj.完全的，绝对的；; v.仔细深入地检查；探索，探究,1. having no exceptions; 2. examine closely,2
numb,[nʌm],adj.麻木的，无感情的,devoid of emotion,2
diplomatic,[ˌdɪpləˈmætɪk],adj. 使用策略的，机智的,tact,2
runic,[ˈruːnɪk],adj.神秘的,mysterious,2
apoplectic,[ˌæpəˈplektɪk],adj.极度愤怒的,extremely angry,2
anemic,[əˈniːmɪk],adj.缺乏力量、活力、精神的,lacking force,2
erratic,[ɪˈrætɪk],adj.善变的,not constant,2
ascetic,[əˈsetɪk],adj./n. 自制的(人),self-denial,2
epic,[ˈepɪk],adj.宏大的，超凡脱俗的,surpassing the usual,2
laconic,[ləˈkɑːnɪk],adj. 简洁（以至于显得粗鲁或难以理解）的,minimum of words; concise,2
cryptic,[ˈkrɪptɪk],adj.秘密的   ; adj.难以理解的,1. secret; 2. beyond one's powers to know,2
plastic,[ˈplæstɪk],adj.可塑的,susceptible of being modified,2
lucid,[ˈluːsɪd],adj.表达清晰的，简单易懂的,easily understood,2
calculated,[ˈkælkjuleɪtɪd],adj.经过计算（成败得失）的，经过深思熟虑的,reckoning or estimating,2
antiquated,[ˈæntɪkweɪtɪd],adj.古老的，过时的,out of style,2
wrongheaded,[ˌrɔːŋˈhedɪd],adj.固执己见的，坚持（错误观点的）,stubborn in adherence,2
corrugated,[ˈkɔːrəɡeɪtɪd],adj.褶皱的,shaped into a series of folds,2
hypnotic,[hɪpˈnɑːtɪk],adj. 催眠的,cause sleep,2
sophisticated,[səˈfɪstɪkeɪtɪd],adj.精明的，老于世故的; adj.复杂的,1.worldly knowledge or refinement; 2.complex,2
contrived,[kənˈtraɪvd],adj.不自然的，刻意的,lacking spontaneous quality,2
disinterested,"[dɪsˈɪntrəstɪd,dɪsˈɪntrestɪd]",adj. 公正的，无偏见的,free from selfish; unbiased,2
egoistic,[ˌiːɡoʊˈɪstɪk],adj. 利己的，以自我为中心的,centered in oneself,2
concerted,[kənˈsɜːrtɪd],adj.共同完成的,planned or accomplished together,2
aseptic,[ˌeɪˈseptɪk],adj.消毒的，无菌的,preventing infection,2
morbid,[ˈmɔːrbɪd],adj.疾病的，疾病所指的; adj.（思想性格）变态的,1.by disease; 2.unwholesome thoughts,2
chauvinistic,[ˌʃoʊvɪˈnɪstɪk],adj.盲目爱国的,showing excessive favorism,2
far-fetched,[ˌfɑːr ˈfetʃt],adj.牵强的，不可信的,not likely to be true,2
